,video_name,tag
0,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Commissaire S - St Tropez - 1.50m - 09.09.2022.mp4_52833-54583_Clear_15.mp4,Clear
1,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Commissaire S - St Tropez - 1.50m - 09.09.2022.mp4_61533-63283_Clear_17.mp4,Clear
2,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Commissaire S - St Tropez - 1.50m - 09.09.2022.mp4_69867-71617_Clear_18.mp4,Clear
3,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Commissaire S - St Tropez - 1.50m - 09.09.2022.mp4_73333-75083_Clear_19.mp4,Clear
4,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Commissaire S - St Tropez - 1.50m - 09.09.2022.mp4_73333-75083_Clear_20.mp4,Clear
5,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_3500-5250_Clear_3.mp4,Clear
6,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_9133-10883_Clear_4.mp4,Clear
7,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_19100-20850_Clear_6.mp4,Clear
8,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_29100-30850_Clear_8.mp4,Clear
9,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_32267-34017_Clear_9.mp4,Clear
10,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_39467-41217_Clear_11.mp4,Clear
11,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_41467-43217_Clear_12.mp4,Clear
12,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_45733-47483_Clear_13.mp4,Clear
13,/content/drive/MyDrive/AI R&D Project/Equestrian/dataset_temp3/train/Clear/Tim Gredley - Imperial Hbf - St Tropez - 1.30m - 08.09.2022.mp4_56567-58317_Clear_14.mp4,Clear
